facility_id,facility_name,reporting_entity,state,facility_type,installed_capacity_mw,latitude,longitude,timestamp,power_mw,emissions_t_co2e,received_at
1,Cathedral Rocks Wind Farm,Acciona Energy Oceania Pty. Ltd.,SA,wind_farm,3.091,-30.5343665,135.6301212,2026-05-07 23:55:00,13.1,0.0,2026-05-29 00:47:43.619987
2,Gunning Wind Farm,Acciona Energy Oceania Pty. Ltd.,NSW,wind_farm,21.637,-31.8759835,147.2869493,2026-05-07 23:55:00,34.9169,0.0,2026-05-29 00:47:43.619987
3,Mt Gellibrand Wind Farm,Acciona Energy Oceania Pty. Ltd.,VIC,wind_farm,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,100.0046,0.0,2026-05-29 00:47:43.619987
4,Waubra Wind Farm,Acciona Energy Oceania Pty. Ltd.,VIC,wind_farm,579.1320000000001,-37.3528575,143.6313265,2026-05-07 23:55:00,161.4275,0.0,2026-05-29 00:47:43.619987
6,Bayswater Power Station,AGL Energy Limited,NSW,power_station,21.637,-32.3951272,150.949476,2026-05-07 23:55:00,-0.343,0.0,2026-05-29 00:47:43.619987
8,Broken Hill Solar Plant,AGL Energy Limited,NSW,other,21.637,-31.9882663,141.3932099,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
13,Dartmouth Hydro,AGL Energy Limited,VIC,hydro,579.1320000000001,-36.5574081,147.5227096,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
17,Hallett (Stage 1) Wind Farm,AGL Energy Limited,SA,wind_farm,3.091,-30.5343665,135.6301212,2026-05-07 23:55:00,17.21,0.0,2026-05-29 00:47:43.619987
18,Hallett (Stage 2) Wind Farm,AGL Energy Limited,SA,wind_farm,3.091,-30.5343665,135.6301212,2026-05-07 23:55:00,19.27,0.0,2026-05-29 00:47:43.619987
25,Liddell Power Station,AGL Energy Limited,NSW,power_station,21.637,-32.3718204,150.9779565,2026-05-07 23:55:00,0.0,0.0,2026-05-29 00:47:43.619987
27,Macarthur Wind Farm,AGL Energy Limited,VIC,wind_farm,579.1320000000001,-36.5986096,144.6780052,2026-05-07 23:55:00,220.4,0.0,2026-05-29 00:47:43.619987
